start livelink
[-0.059, 0.048, 0.062]
[-0.057, 0.047, 0.056]
[-0.056, 0.046, 0.046]
[-0.055, 0.045, 0.037]
[-0.056, 0.043, 0.021]
[-0.056, 0.043, 0.021]
[-0.058, 0.043, 0.013]
[-0.061, 0.043, 0.006]
[-0.066, 0.043, -0.002]
[-0.069, 0.043, -0.009]
[-0.073, 0.042, -0.014]
[-0.085, 0.041, -0.024]
[-0.085, 0.041, -0.024]
[-0.09, 0.041, -0.027]
[-0.094, 0.041, -0.029]
[-0.099, 0.04, -0.033]
[-0.099, 0.04, -0.033]
[-0.1, 0.038, -0.033]
[-0.103, 0.037, -0.034]
[-0.103, 0.037, -0.034]
[-0.103, 0.037, -0.034]
[-0.104, 0.037, -0.035]
[-0.104, 0.037, -0.035]
[-0.104, 0.037, -0.035]
[-0.105, 0.037, -0.035]
[-0.105, 0.037, -0.035]
[-0.104, 0.037, -0.035]
[-0.104, 0.037, -0.036]
[-0.102, 0.037, -0.037]
[-0.1, 0.038, -0.038]
[-0.101, 0.038, -0.041]
[-0.099, 0.038, -0.042]
[-0.099, 0.037, -0.043]
[-0.097, 0.035, -0.043]
[-0.094, 0.031, -0.044]
[-0.088, 0.026, -0.045]
[-0.086, 0.023, -0.046]
[-0.084, 0.019, -0.046]
[-0.083, 0.016, -0.046]
[-0.084, 0.013, -0.046]
[-0.087, 0.009, -0.047]
[-0.094, 0.007, -0.05]
[-0.098, 0.007, -0.051]
[-0.101, 0.006, -0.053]
[-0.099, 0.007, -0.054]
[-0.095, 0.007, -0.055]
[-0.092, 0.006, -0.057]
[-0.088, 0.005, -0.059]
[-0.086, 0.004, -0.061]
[-0.081, 0.003, -0.063]
[-0.075, 0.003, -0.065]
[-0.069, 0.003, -0.066]
[-0.064, 0.003, -0.067]
[-0.057, 0.003, -0.067]
[-0.053, 0.003, -0.067]
[-0.048, 0.003, -0.066]
[-0.048, 0.003, -0.066]
[-0.049, 0.003, -0.065]
[-0.048, 0.003, -0.065]
[-0.046, 0.003, -0.064]
[-0.046, 0.003, -0.064]
[-0.045, 0.004, -0.063]
[-0.046, 0.005, -0.063]
[-0.049, 0.006, -0.063]
[-0.049, 0.006, -0.063]
[-0.048, 0.007, -0.064]
[-0.047, 0.009, -0.063]
[-0.047, 0.01, -0.063]
[-0.047, 0.01, -0.063]
[-0.047, 0.011, -0.063]
[-0.049, 0.011, -0.064]
[-0.051, 0.011, -0.064]
[-0.053, 0.011, -0.064]
[-0.058, 0.01, -0.064]
